	Date	Open	High	Low	Close
253	2021-04-06	4.87	5.04	4.87	4.94
254	2021-04-07	4.88	4.93	4.8	4.82
255	2021-04-08	4.9	5.03	4.88	4.94
256	2021-04-09	4.73	4.91	4.71	4.88
257	2021-04-12	4.73	4.76	4.51	4.58
258	2021-04-13	4.52	4.6	4.49	4.57
259	2021-04-14	4.47	4.49	4.34	4.35
260	2021-04-15	4.37	4.66	4.37	4.6
261	2021-04-16	4.63	4.73	4.58	4.72
262	2021-04-19	4.71	4.73	4.62	4.69
263	2021-04-20	4.6	4.75	4.57	4.66
264	2021-04-21	4.71	4.86	4.68	4.86
265	2021-04-22	4.78	4.85	4.66	4.74
266	2021-04-23	4.85	4.93	4.77	4.79
267	2021-04-26	4.95	4.97	4.87	4.88
268	2021-04-27	4.97	4.97	4.75	4.77
269	2021-04-28	4.73	4.84	4.7	4.83
270	2021-04-29	4.75	4.75	4.56	4.63
271	2021-04-30	4.58	4.65	4.53	4.54
272	2021-05-03	4.65	4.84	4.64	4.82
273	2021-05-04	4.76	4.84	4.59	4.65
274	2021-05-05	4.65	4.65	4.56	4.62
275	2021-05-06	4.69	4.96	4.66	4.85
276	2021-05-07	5.0	5.2	4.91	5.18
277	2021-05-10	5.28	5.3	5.04	5.07
278	2021-05-11	4.88	5.03	4.81	4.98
279	2021-05-12	4.93	4.97	4.74	4.76
280	2021-05-13	4.71	4.85	4.7	4.78
281	2021-05-14	4.91	5.03	4.88	4.99
282	2021-05-17	5.14	5.6	5.13	5.53
283	2021-05-18	5.56	5.61	5.43	5.58
284	2021-05-19	5.59	5.76	5.36	5.47
285	2021-05-20	5.52	5.6	5.46	5.5
286	2021-05-21	5.58	5.59	5.41	5.48
287	2021-05-24	5.42	5.45	5.35	5.45
288	2021-05-25	5.37	5.48	5.27	5.43
289	2021-05-26	5.48	5.51	5.27	5.34
290	2021-05-27	5.25	5.27	5.16	5.16
291	2021-05-28	5.14	5.25	5.12	5.16
292	2021-06-01	5.3	5.36	5.22	5.26
293	2021-06-02	5.3	5.38	5.24	5.36
294	2021-06-03	5.13	5.14	4.98	5.01
295	2021-06-04	5.09	5.13	5.05	5.1
296	2021-06-07	4.95	4.98	4.89	4.94
297	2021-06-08	4.85	4.87	4.73	4.75
298	2021-06-09	4.73	4.78	4.67	4.67
299	2021-06-10	4.66	4.82	4.62	4.82
300	2021-06-11	4.74	4.8	4.6	4.64
301	2021-06-14	4.51	4.59	4.47	4.5
302	2021-06-15	4.49	4.5	4.37	4.43
303	2021-06-16	4.46	4.5	4.22	4.28
304	2021-06-17	4.22	4.29	4.15	4.22
305	2021-06-18	4.22	4.26	4.08	4.08
306	2021-06-21	4.15	4.18	4.08	4.15
307	2021-06-22	4.03	4.05	3.97	3.98
308	2021-06-23	3.92	4.03	3.86	3.87
309	2021-06-24	3.94	3.99	3.85	3.86
310	2021-06-25	3.93	3.96	3.82	3.83
311	2021-06-28	3.8	3.85	3.7	3.74
312	2021-06-29	3.67	3.75	3.66	3.68
313	2021-06-30	3.71	3.77	3.69	3.73
314	2021-07-01	3.85	3.91	3.78	3.8
315	2021-07-02	3.88	3.89	3.76	3.86
316	2021-07-06	3.97	4.04	3.83	3.87
317	2021-07-07	3.95	3.96	3.84	3.91
318	2021-07-08	3.95	3.97	3.72	3.74
319	2021-07-09	3.73	3.85	3.73	3.82
320	2021-07-12	3.78	3.93	3.75	3.82
321	2021-07-13	3.9	4.15	3.89	4.0
322	2021-07-14	4.13	4.17	4.04	4.11
323	2021-07-15	4.12	4.17	4.09	4.17
324	2021-07-16	4.14	4.17	4.01	4.04
325	2021-07-19	3.99	4.06	3.94	4.05
326	2021-07-20	4.11	4.18	4.06	4.08
327	2021-07-21	4.01	4.13	4.01	4.1
328	2021-07-22	4.08	4.09	3.99	4.06
329	2021-07-23	4.02	4.05	3.91	3.91
330	2021-07-26	3.96	4.07	3.96	4.03
331	2021-07-27	4.08	4.08	3.99	4.07
332	2021-07-28	4.03	4.14	4.0	4.13
333	2021-07-29	4.26	4.33	4.24	4.25
334	2021-07-30	4.16	4.2	4.08	4.1
335	2021-08-02	4.11	4.18	4.07	4.16
336	2021-08-03	4.13	4.24	4.12	4.21
337	2021-08-04	4.3	4.35	4.19	4.22
338	2021-08-05	4.18	4.19	4.0	4.01
339	2021-08-06	3.88	3.9	3.73	3.75
340	2021-08-09	3.64	3.71	3.55	3.58
341	2021-08-10	3.52	3.55	3.46	3.49
342	2021-08-11	3.59	3.67	3.59	3.62
343	2021-08-12	3.58	3.58	3.47	3.49
344	2021-08-13	3.56	3.6	3.52	3.57
345	2021-08-16	3.63	3.67	3.6	3.65
346	2021-08-17	3.64	3.75	3.63	3.64
347	2021-08-18	3.65	3.65	3.49	3.53
348	2021-08-19	3.57	3.57	3.48	3.49
349	2021-08-20	3.52	3.63	3.5	3.58
350	2021-08-23	3.71	3.82	3.66	3.76
351	2021-08-24	3.75	3.77	3.69	3.74
352	2021-08-25	3.7	3.7	3.57	3.6
353	2021-08-26	3.53	3.64	3.51	3.56
354	2021-08-27	3.6	3.85	3.58	3.84
355	2021-08-30	3.84	3.85	3.76	3.79
356	2021-08-31	3.65	3.79	3.64	3.78
357	2021-09-01	3.79	3.8	3.69	3.69
358	2021-09-02	3.6	3.6	3.47	3.53
359	2021-09-03	3.51	3.59	3.48	3.51
360	2021-09-07	3.4	3.43	3.27	3.27
361	2021-09-08	3.27	3.27	3.16	3.23
362	2021-09-09	3.21	3.21	3.12	3.17
363	2021-09-10	3.19	3.2	3.11	3.13
364	2021-09-13	3.16	3.36	3.14	3.3
365	2021-09-14	3.42	3.48	3.32	3.46
366	2021-09-15	3.38	3.45	3.36	3.41
367	2021-09-16	3.23	3.23	3.13	3.21
368	2021-09-17	3.17	3.24	3.16	3.23
369	2021-09-20	3.21	3.31	3.18	3.3
370	2021-09-21	3.33	3.36	3.25	3.28
371	2021-09-22	3.28	3.37	3.25	3.26
372	2021-09-23	3.23	3.24	3.15	3.22
373	2021-09-24	3.21	3.26	3.18	3.18
374	2021-09-27	3.21	3.31	3.19	3.23
375	2021-09-28	3.15	3.21	3.12	3.18
376	2021-09-29	3.13	3.14	3.0	3.01
377	2021-09-30	3.09	3.21	3.07	3.15
378	2021-10-01	3.2	3.21	3.14	3.18
379	2021-10-04	3.15	3.24	3.14	3.22
380	2021-10-05	3.23	3.27	3.15	3.24
381	2021-10-06	3.24	3.41	3.22	3.41
382	2021-10-07	3.39	3.48	3.38	3.43
383	2021-10-08	3.57	3.6	3.46	3.5
384	2021-10-11	3.5	3.59	3.49	3.54
385	2021-10-12	3.63	3.75	3.58	3.69
386	2021-10-13	3.76	3.88	3.76	3.86
387	2021-10-14	3.9	3.91	3.82	3.89
388	2021-10-15	3.73	3.91	3.71	3.86
389	2021-10-18	3.83	3.89	3.79	3.8
390	2021-10-19	3.9	3.92	3.8	3.86
391	2021-10-20	3.92	4.03	3.92	3.94
392	2021-10-21	3.89	3.91	3.83	3.9
393	2021-10-22	4.0	4.09	3.93	3.93
394	2021-10-25	4.01	4.02	3.95	3.98
395	2021-10-26	3.94	3.95	3.87	3.92
396	2021-10-27	3.94	3.95	3.85	3.87
397	2021-10-28	3.87	3.9	3.76	3.77
398	2021-10-29	3.71	3.71	3.59	3.62
399	2021-11-01	3.64	3.66	3.59	3.59
400	2021-11-02	3.57	3.58	3.5	3.55
401	2021-11-03	3.5	3.61	3.45	3.56
402	2021-11-04	3.67	3.74	3.52	3.53
403	2021-11-05	3.53	3.63	3.48	3.63
404	2021-11-08	3.68	3.72	3.61	3.64
405	2021-11-09	3.65	3.68	3.55	3.6
406	2021-11-10	3.74	3.83	3.71	3.71
407	2021-11-11	4.01	4.17	4.01	4.11
408	2021-11-12	4.01	4.1	3.96	4.07
409	2021-11-15	4.1	4.15	4.05	4.14
410	2021-11-16	4.17	4.21	4.1	4.12
411	2021-11-17	4.26	4.32	4.21	4.25
412	2021-11-18	4.25	4.27	4.13	4.17
413	2021-11-19	4.17	4.18	4.03	4.03
414	2021-11-22	3.99	4.06	3.88	4.02
415	2021-11-23	3.95	3.98	3.85	3.93
416	2021-11-24	3.86	3.93	3.83	3.89
417	2021-11-26	3.95	3.98	3.79	3.86
